DOI,CORRECT_SOLVENT,CORRECT_SOLVENT_AND_COMPOUND
10.1038/nchem.828,True,True
10.1039/c0dt00421a,True,False
10.1002/chem.201504310,False,False
10.1002/adsc.200900029,True,False
10.1002/ejoc.201500695,False,False
10.1002/anie.201204489,True,False
10.1039/C9CC07723E,True,True
10.1002/ejic.201100978,False,False
10.3762/bjoc.11.42,False,False
10.1002/chem.201800243,True,False
10.1002/chem.201502363,False,False
10.1039/C4RA07840C,False,False
10.1002/adsc.201000658,True,False
10.1039/C6CE01765G,True,False
10.1039/C2CC37025E,True,True
10.1039/c2jm32809g,True,True
10.1039/D0RA01335H,True,True
10.1039/C4CC03497J,True,False
10.1039/C3OB42152J,False,False
10.1039/C9OB00637K,True,True
10.1039/C4GC01832J,True,True
10.1039/c2ob25932j,False,False
10.1039/c0cc01282c,True,False
10.1039/C3CC46865H,True,True
10.1039/c0cc00638f,False,False
10.1039/C9OB02363A,True,True
10.1002/slct.201800652,True,True
10.1039/c002454f,False,False
10.1038/nature21418,False,False
10.1039/C7QO00821J,True,True
10.1039/b820621j,True,True
10.1002/poc.1874,True,False
10.1002/chem.201201527,True,True
10.1002/chem.201902423,False,False
10.1039/C8OB02031K,False,False
10.1039/C9QO00144A,True,False
10.1039/C6RA12692H,False,False
10.1039/b812333k,True,True
10.1039/c2dt32134c,True,True
10.1002/anie.201904940,True,True
10.1039/C5CC05973A,True,True
10.1039/b301772a,True,True
10.1002/chem.201603188,True,False
10.1039/C7RA01229B,True,False
10.1002/ejoc.201601341,True,True
10.1002/ejic.201201471,True,True
10.1039/C5CC04538J,True,False
10.1039/b820502g,True,True
10.1002/ejoc.201800962,True,True
10.1039/C4CC00318G,True,True
10.1039/C4OB01179A,True,True
10.1039/C6TC05519B,True,True
10.1039/C7OB02101A,True,False
10.1039/c2jm32405a,True,True
10.1039/C9SC06518K,True,True
10.1039/C9CC04526K,False,False
10.1002/chem.201700500,False,False
10.1002/anie.201706763,True,True
10.1002/chem.201802491,True,True
10.1039/c2sc20719b,True,True
10.1039/D0GC00321B,True,True
10.1039/c2dt12031c,True,False
10.1039/c2sc21214e,False,False
10.1002/chem.201200306,True,True
10.1039/C5CC05549K,False,False
10.1002/chem.201702060,True,False
10.1039/C5TC03737A,True,True
10.1039/D0CP00110D,False,False
10.1002/anie.201209030,True,True
10.1002/anie.200902029,True,True
10.1039/c0cc00247j,True,True
10.1002/chem.201905344,True,False
10.1002/adsc.201300462,False,False
10.1039/C9SC02341K,True,False
10.1002/chem.201805124,True,False
10.1002/chem.201200390,False,False
10.1039/C5RA25536H,False,False
10.1039/C6DT04615K,True,True
10.1039/C4CC06643J,True,False
10.1039/C8RA06611F,True,False
10.1002/anie.200907033,True,True
10.1002/ejoc.201201203,True,True
10.1039/C4PY00265B,True,False
10.1002/chem.201302126,True,True
10.1039/C8CC01529E,True,True
10.1039/C9CC05103A,True,False
10.1002/anie.201803180,True,False
10.1039/C5CE01156F,True,True
10.1002/chem.201903750,True,False
10.1039/C3RA00170A,True,True
10.1039/D0TB00470G,True,True
10.1002/ejoc.201000642,True,True
10.1002/anie.201105228,True,True
10.1002/chem.201405190,True,True
10.1039/C9TC00720B,True,True
10.1039/C3CP50757B,True,True
10.1039/b606881b,True,True
10.1039/C9SC01192G,True,True
10.1039/C7PY00118E,True,True
10.1039/c2cc36263e,True,True
10.1002/ejoc.201200748,False,False
10.1002/adma.201404858,True,True
